year,crop ,,
1962,30.88,,
1963,31.39,,
1964,27.2,,
1965,31.35,,
1966,19.15,,
1967,21.36,,
1968,28.35,,
1969,25.54,,
1970,26.33,,
1971,27.12,,
1972,23.7,,
1973,21.77,,
1974,23.53,,
1975,26.4,,
1976,23.68,,
1977,17.67,,
1978,17.85,,
1979,20.87,,
1980,22.93,,
1981,23.2,,
1982,18.67,,
1983,19.2,,
1984,21.27,,
1985,28.76,,
1986,28.9,,
1987,27.39,,
1988,23.85,,
1989,27.55,,
1990,24.79,,
1991,33.05,,
1992,35.92,,
1993,32.03,,
1994,27.54,,
1995,33.02,,
1996,43.26,,
1997,30.82,,
1998,36.34,,
1999,39.35,,
2000,30.95,,
2001,36.67,,
2002,37.64,,
2003,49,,
2004,54.54,,
2005,55.85,,
2006,59.16,,
2007,51.52,,
2008,52.87,,
2009,72.36,,
2010,74.96,,
2011,83.53,,
2012,88.72,,
2013,98.82,,
2014,94.93,,
2015,101.74,,
2016,103.33,,
2017,104.4,,
2018,115.36,,
2019,121.01,,
2020,120.95,,
2021,108.76,,
