year,internet_access,mobile_celullar,Index,population,CO2 emissions (kt),CO2 emissions (kg per 2015 US$ of GDP),CO2 emissions (metric tons per capita),Gdp%,co2 energy use,gdp_constant,pop_num,Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)",Arable land (% of land area),Broad money growth (annual %),Broad money (% of GDP),Crop production index (2014-2016 = 100),"Energy imports, net (% of energy use)",Final consumption expenditure (% of GDP),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),"Foreign direct investment, net (BoP, current US$)",GDP per capita (constant 2015 US$),GDP per capita growth (annual %),Gross capital formation (% of GDP),ICT goods exports (% of total goods exports),ICT goods imports (% total goods imports),"ICT service exports (% of service exports, BoP)","ICT service exports (BoP, current US$)","Life expectancy at birth, total (years)",Livestock production index (2014-2016 = 100),Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions,Natural gas rents (% of GDP),New businesses registered (number),"New business density (new registrations per 1,000 people ages 15-64)",Renewable energy consumption (% of total final energy consumption),Renewable electricity output (% of total electricity output),Total natural resources rents (% of GDP),Total reserves (% of total external debt),"Inflation, consumer prices (annual %)",Consumer price index (2010 = 100)
1995,0.001768954,4691,-1.7037291,1.763319561,76123.8,0.897168295,2.626350224,3.79999479,3.013113789,28478022,81507170839,16.64707315,396490,..,..,3.156935686,9.46358192,37.16944579,33.02,-340.144542,71.89289865,..,..,1176316,4.130609914,38.88,..,2862.107868,1.828036977,30.90855624,..,..,..,..,67.454,49.87,0.016472352,4691,4.46124812,..,..,0.42,0.978950038,18.87711951,12.60048857,29.77962649,51.93108535
1996,0.001738533,11700,-1.7032245,1.681159712,74433.2,0.867698793,2.525211077,4.09999847,3.042015383,28984634,84848963597,16.64161495,396360,..,..,3.157775408,14.64464552,33.00583648,43.26,-379.8625014,68.50583633,..,..,1278142,4.409722752,45.69,..,2927.377437,2.280472012,25.67841426,..,..,..,..,68.749,50.41,0.040366216,11700,4.632716361,..,..,0.39,0.653626416,21.17192421,18.71088086,18.67907586,61.63133217
1997,0.010268463,17400,-1.7028141,1.510573237,74649.1,0.827988201,2.494567358,1.099999939,3.027656182,29476031,85782302145,16.66428745,396900,..,..,3.211937491,18.25947539,36.08143414,30.82,-405.6179006,67.98432171,..,..,1400343,4.750785477,37.28,..,2910.239243,-0.585445319,22.44697253,..,..,..,..,69.171,49.56,0.059031014,17400,5.327899475,..,..,0.47,0.348885891,20.33273441,31.28762053,5.733522754,65.16497863
1998,0.020238555,18000,-1.7027709,1.398429124,77505.3,0.833012023,2.554046267,5.100003609,2.994182152,29924668,90157202650,16.72138856,398260,..,..,3.216555963,19.57262026,42.37682235,36.34,-410.4515636,72.78925929,..,..,1477000,4.935727274,41.78,..,3012.805444,3.524321957,27.14848166,..,..,..,..,69.451,52.15,0.060151043,18000,5.29640842,..,..,0.54,0.924254148,14.62708104,27.54354102,4.950161638,68.3907504
1999,0.199523843,72000,-1.6988832,1.402290858,80046.8,0.82883196,2.601065339,3.200001554,2.917786127,30346083,93042234535,16.68150176,397310,11.10697987,..,3.221594297,13.9471736,42.20770317,39.35,-415.3847592,68.38120152,..,..,1600000,5.272509141,43.84,..,3066.0377,1.766866719,26.24768467,..,..,..,..,70.032,52.04,0.237262911,72000,5.500961247,..,..,0.51,0.819970109,18.62330517,21.79188285,2.645511134,70.20003532
2000,0.491705679,86000,-1.6978753,1.375930803,78645.5,0.790604292,2.520609526,3.800000002,2.911319446,30774621,96577839449,16.80326148,400210,8.395048495,-4.599999988,3.216975824,14.13150284,37.82972484,30.95,-426.8035428,55.15499402,..,..,1761327,5.723310126,41.01,..,3138.230019,2.354580271,23.5639069,0.006492008,4.299571423,..,..,70.478,59.4,0.279451045,86000,6.361431398,..,..,0.43,0.212498032,26.68689739,53.24135173,0.339163189,70.438128
2001,0.646114017,100000,-1.6968674,1.348866952,82404.3,0.784460799,2.605694613,2.999999999,2.764180947,31200985,99475174632,16.84020926,401090,9.749419994,12.79999999,3.183806797,54.05140869,56.84895321,36.67,-405.6069841,58.48649658,..,..,1880000,6.025450799,44.17,..,3188.206226,1.592496614,26.8410615,0.001154551,3.615513724,..,..,70.823,57.93,0.320502702,100000,6.773304488,..,..,0.43,0.25915493,23.63094129,86.27158715,4.225988349,73.41483508
2002,1.59164126,450244,-1.6716519,1.354238911,88188.9,0.783141993,2.751098761,5.599999996,2.779092076,31624696,1.05046E+11,16.73356454,398550,9.224982107,-1.200000001,3.168691797,18.05211536,62.72422623,37.64,-394.6625119,59.47173338,..,..,1950000,6.166067177,45.61,..,3321.637761,4.1851601,30.65336244,0.006903652,4.794812157,..,..,71.23,60.19,1.423710128,450244,5.626284278,..,..,0.51,0.206163194,23.47093852,109.1717749,1.418301923,74.4560791
2003,2.195359731,1446927,-1.5998966,1.407273215,89492.7,0.761955992,2.752758782,7.200000001,2.726537582,32055883,1.12609E+11,16.7548515,399057,9.810558037,19.50000001,3.150511811,16.30615568,62.81907597,49,-405.0418018,55.28645336,18000,0.056151938,2079464,6.486996272,53.44,..,3512.899048,5.758041706,30.34066273,0.00281931,6.767406281,..,..,71.287,61.45,4.51376415,1446927,4.622660327,..,..,0.47,0.896148253,24.45232261,149.1586859,4.268953958,77.63457483
2004,4.634475088,4882414,-1.3525619,1.364081963,94187.8,0.757252944,2.85792657,4.3,2.726802671,32510186,1.17451E+11,17.27518537,411450,9.440477389,5.399999999,3.146019297,10.4512235,59.26531253,54.54,-407.1157857,52.33142905,36000,0.110734525,2486720,7.649048824,58.37,..,3612.75298,2.842493639,33.26354011,0.00586092,6.93415932,..,..,71.762,65.43,15.0181054,4882414,3.907359982,..,..,0.44,0.8032,26.15731301,203.8372314,3.961800303,80.71030165
