year,Broad money growth (annual %)
1995,9.46358192
1996,14.64464552
1997,18.25947539
1998,19.57262026
1999,13.9471736
2000,14.13150284
2001,54.05140869
2002,18.05211536
2003,16.30615568
2004,10.4512235
2005,11.69360354
2006,19.64477663
2007,23.09073922
2008,16.03708229
2009,4.840835097
2010,13.54843173
2011,19.90700326
2012,10.93691709
2013,8.409999837
2014,14.42367387
2015,0.297131028
2016,0.815774502
2017,8.380854997
2018,11.1022592
2019,-0.757531113
2020,7.445617346
2021,13.18375865
2022,14.32625276
